Frame,ID,Zona
596,28,Centro-Der
597,28,Centro-Der
599,28,Centro-Der
600,28,Centro-Der
601,28,Centro-Der
602,28,Centro-Der
603,28,Centro-Der
604,28,Centro-Der
605,28,Centro-Der
606,28,Centro-Der
607,28,Centro-Der
610,28,Centro-Der
611,28,Centro-Der
612,28,Centro-Der
613,28,Centro-Der
614,28,Centro-Der
615,28,Centro-Der
616,28,Centro-Der
617,28,Centro-Der
618,28,Centro-Der
619,28,Centro-Der
620,28,Centro-Der
621,28,Centro-Der
622,28,Centro-Der
623,28,Centro-Der
624,28,Centro-Der
625,28,Centro-Der
626,28,Centro-Der
627,28,Centro-Der
628,28,Centro-Der
629,28,Centro-Der
630,28,Centro-Der
631,28,Centro-Der
633,28,Centro-Der
634,28,Centro-Der
635,28,Centro-Der
636,28,Centro-Der
637,28,Centro-Der
638,28,Centro-Der
639,28,Centro-Izq
640,28,Centro-Izq
641,28,Centro-Izq
642,28,Centro-Izq
643,28,Centro-Izq
644,28,Centro-Izq
645,28,Centro-Izq
646,28,Centro-Izq
647,28,Centro-Izq
648,28,Centro-Izq
649,28,Centro-Izq
650,28,Centro-Izq
651,28,Centro-Izq
652,28,Centro-Izq
653,28,Centro-Izq
654,28,Centro-Izq
655,28,Centro-Izq
656,28,Centro-Izq
657,28,Centro-Izq
671,28,Centro-Der
672,28,Centro-Der
673,28,Centro-Der
674,28,Centro-Der
675,28,Centro-Der
676,28,Centro-Der
